Date,Description,Amount
2025-08-01,Zomato - Midnight Biryani Feast,-2500
2025-08-02,Salary Credit,50000
2025-08-03,Amazon India - 65inch Smart TV,-72000
2025-08-04,Myntra - Fashion Haul,-15000
2025-08-05,Uber *Ride to Airport,-3200
2025-08-06,Nykaa - Skincare Splurge,-8700
2025-08-07,Spotify Premium Family,-179
2025-08-08,Swiggy Instamart - Ice Cream & Snacks,-1450
2025-08-09,Flipkart - iPhone 15 Pro Max,-145000
2025-08-10,BigBasket - Organic Everything,-8900
2025-08-11,Zomato - Sushi Party,-5600
2025-08-12,Netflix Subscription,-649
2025-08-13,Uber *Luxury Ride,-2200
2025-08-14,Amazon India - Gaming Laptop,-98000
2025-08-15,Myntra - Independence Day Sale,-11200
2025-08-16,Swiggy - Pizza Festival,-3400
2025-08-17,BigBasket - Exotic Fruits,-6700
2025-08-18,Starbucks - Coffee Marathon,-2500
2025-08-19,Nykaa - Makeup Blowout,-12500
2025-08-20,Spotify Annual Plan,-1199
